Country/Region,Confirmed,Deaths,Recovered,Mortality Rates
US,396223,12722,21763,0.03210818150385011
Spain,141942,14045,43208,0.09894886643840442
Italy,135586,17127,24392,0.12631835145221484
France,110065,10343,19523,0.09397174396947258
Germany,107663,2016,36081,0.0187250959010988
China,82718,3335,77410,0.040317705940665874
Iran,62589,3872,27039,0.061863905798143444
United Kingdom,55949,6171,325,0.11029687751344974
Turkey,34109,725,1582,0.021255387141223724
Switzerland,22253,821,8704,0.03689390194580506
Belgium,22194,2035,4157,0.0916914481391367
Netherlands,19709,2108,272,0.10695621289766097
Canada,17872,375,3791,0.020982542524619518
Brazil,14034,686,127,0.048881288299843235
Austria,12639,243,4046,0.019226204604794683
Portugal,12442,345,184,0.027728660986979584
"Korea, South",10331,192,6694,0.01858484173845707
Israel,9248,65,770,0.007028546712802768
Sweden,7693,591,205,0.076823085922267
Russia,7497,58,494,0.007736427904495131
Norway,6086,89,32,0.01462372658560631
Australia,5895,45,1080,0.007633587786259542
Ireland,5709,210,25,0.03678402522333158
India,5311,150,421,0.02824326868762945
Denmark,5266,203,1621,0.03854918344094189
Chile,5116,43,898,0.008405003909304144
Czechia,5017,88,172,0.01754036276659358
Poland,4848,129,191,0.026608910891089108
Romania,4417,197,460,0.04460040751641386
Pakistan,4035,57,429,0.01412639405204461
Malaysia,3963,63,1321,0.015897047691143074
Japan,3906,92,592,0.023553507424475168
Philippines,3764,177,84,0.04702444208289054
Ecuador,3747,191,100,0.05097411262343208
Luxembourg,2970,44,500,0.014814814814814815
Peru,2954,107,1301,0.036222071767095465
Saudi Arabia,2795,41,615,0.014669051878354204
Indonesia,2738,221,204,0.08071585098612126
Serbia,2447,61,0,0.024928483857785042
Mexico,2439,125,633,0.05125051250512505
United Arab Emirates,2359,12,186,0.005086901229334464
Finland,2308,34,300,0.014731369150779897
Thailand,2258,27,888,0.011957484499557131
Panama,2100,55,14,0.02619047619047619
Qatar,2057,6,150,0.002916869227029655
Dominican Republic,1956,98,36,0.050102249488752554
Greece,1832,81,269,0.04421397379912664
Colombia,1780,50,100,0.028089887640449437
South Africa,1749,13,95,0.007432818753573471
Argentina,1628,56,338,0.0343980343980344
Iceland,1586,6,559,0.0037831021437578815
Singapore,1481,6,377,0.004051316677920324
Algeria,1468,193,113,0.13147138964577657
Ukraine,1462,45,28,0.030779753761969904
Egypt,1450,94,276,0.06482758620689655
Croatia,1282,18,167,0.014040561622464899
Morocco,1184,90,93,0.07601351351351351
New Zealand,1160,1,241,0.0008620689655172414
Estonia,1149,21,69,0.018276762402088774
Iraq,1122,65,373,0.057932263814616754
Slovenia,1059,36,102,0.0339943342776204
Moldova,1056,22,40,0.020833333333333332
Lithuania,880,15,8,0.017045454545454544
Belarus,861,13,54,0.015098722415795587
Armenia,853,8,87,0.009378663540445486
Hungary,817,47,71,0.05752753977968176
Bahrain,811,5,458,0.006165228113440197
Bosnia and Herzegovina,764,33,68,0.04319371727748691
Kuwait,743,1,105,0.0013458950201884253
Azerbaijan,717,8,44,0.011157601115760111
Diamond Princess,712,11,619,0.01544943820224719
Kazakhstan,697,6,51,0.00860832137733142
Cameroon,658,9,43,0.013677811550151976
Tunisia,623,23,25,0.03691813804173355
North Macedonia,599,26,30,0.04340567612687813
Slovakia,581,2,13,0.0034423407917383822
Bulgaria,577,23,42,0.03986135181975736
Lebanon,548,19,62,0.03467153284671533
Latvia,548,2,16,0.0036496350364963502
Andorra,545,22,39,0.04036697247706422
Uzbekistan,520,2,30,0.0038461538461538464
Cyprus,494,9,47,0.018218623481781375
Costa Rica,483,2,24,0.004140786749482402
Uruguay,424,7,150,0.01650943396226415
Afghanistan,423,14,18,0.03309692671394799
Cuba,396,11,27,0.027777777777777776
Burkina Faso,384,19,127,0.049479166666666664
Albania,383,22,131,0.057441253263707574
Taiwan*,376,5,57,0.013297872340425532
Oman,371,2,67,0.005390835579514825
Jordan,353,6,138,0.0169971671388102
Cote d'Ivoire,349,3,41,0.008595988538681949
Honduras,305,22,6,0.07213114754098361
Malta,293,0,5,0.0
Ghana,287,5,31,0.017421602787456445
San Marino,279,34,40,0.12186379928315412
Niger,278,11,26,0.039568345323741004
Mauritius,268,7,8,0.026119402985074626
West Bank and Gaza,261,1,42,0.0038314176245210726
Nigeria,254,6,44,0.023622047244094488
Vietnam,249,0,123,0.0
Montenegro,241,2,4,0.008298755186721992
Senegal,237,2,105,0.008438818565400843
Kyrgyzstan,228,4,33,0.017543859649122806
Georgia,196,3,46,0.015306122448979591
Bolivia,194,14,2,0.07216494845360824
Sri Lanka,185,6,42,0.032432432432432434
Congo (Kinshasa),180,18,9,0.1
Kenya,172,6,7,0.03488372093023256
Kosovo,170,4,24,0.023529411764705882
Venezuela,165,7,65,0.04242424242424243
Bangladesh,164,17,33,0.10365853658536585
Guinea,144,0,5,0.0
Brunei,135,1,85,0.007407407407407408
Paraguay,115,5,15,0.043478260869565216
Cambodia,115,0,58,0.0
Trinidad and Tobago,107,8,1,0.07476635514018691
Rwanda,105,0,7,0.0
Djibouti,90,0,9,0.0
Madagascar,88,0,7,0.0
Monaco,79,1,4,0.012658227848101266
Liechtenstein,78,1,55,0.01282051282051282
El Salvador,78,4,5,0.05128205128205128
Guatemala,77,3,17,0.03896103896103896
Togo,65,3,23,0.046153846153846156
Barbados,63,3,6,0.047619047619047616
Jamaica,63,3,8,0.047619047619047616
Mali,56,5,12,0.08928571428571429
Ethiopia,52,2,4,0.038461538461538464
Uganda,52,0,0,0.0
Congo (Brazzaville),45,5,2,0.1111111111111111
Zambia,39,1,7,0.02564102564102564
Bahamas,33,6,5,0.18181818181818182
Guinea-Bissau,33,0,0,0.0
Guyana,33,5,8,0.15151515151515152
Eritrea,31,0,0,0.0
Gabon,30,1,1,0.03333333333333333
Benin,26,1,5,0.038461538461538464
