,Global Cumulated Confirmed,Global Deaths,Global Recovered,Mortality Rate,Actual Infected
2020-01-22,555,17,28,0.03063063063063063,510
2020-01-23,654,18,30,0.027522935779816515,606
2020-01-24,941,26,36,0.02763018065887354,879
2020-01-25,1434,42,39,0.029288702928870293,1353
2020-01-26,2118,56,52,0.02644003777148253,2010
2020-01-27,2927,82,61,0.02801503245644004,2784
2020-01-28,5578,131,107,0.023485120114736465,5340
2020-01-29,6166,133,126,0.021569899448589037,5907
2020-01-30,8234,171,143,0.020767549186300704,7920
2020-01-31,9927,213,222,0.021456633423995165,9492
2020-02-01,12038,259,284,0.021515201860774213,11495
2020-02-02,16787,362,472,0.021564305712753917,15953
2020-02-03,19881,426,623,0.02142749358684171,18832
2020-02-04,23892,492,852,0.02059266700150678,22548
2020-02-05,27635,564,1124,0.020408901755020806,25947
2020-02-06,30794,634,1487,0.020588426316814963,28673
2020-02-07,34391,719,2011,0.020906632549213457,31661
2020-02-08,37120,806,2616,0.021713362068965517,33698
2020-02-09,40150,906,3244,0.0225653798256538,36000
2020-02-10,42762,1013,3946,0.023689256816799963,37803
2020-02-11,44802,1113,4683,0.02484264095352886,39006
2020-02-12,45221,1118,5150,0.02472302691227527,38953
2020-02-13,60368,1371,6295,0.022710707659687253,52702
2020-02-14,66885,1523,8058,0.022770426852059506,57304
2020-02-15,69030,1666,9395,0.02413443430392583,57969
2020-02-16,71224,1770,10865,0.024851173761653376,58589
2020-02-17,73258,1868,12583,0.02549892161948183,58807
2020-02-18,75136,2007,14352,0.026711563032367974,58777
2020-02-19,75639,2122,16121,0.028054310606962018,57396
2020-02-20,76197,2247,18177,0.02948934997440844,55773
2020-02-21,76819,2251,18890,0.029302646480688373,55678
2020-02-22,78572,2458,22886,0.03128340884793565,53228
2020-02-23,78958,2469,23394,0.03126978900174777,53095
2020-02-24,79561,2629,25227,0.03304382800618393,51705
2020-02-25,80406,2708,27905,0.03367907867572072,49793
2020-02-26,81388,2770,30384,0.03403450140069789,48234
2020-02-27,82746,2814,33277,0.034007686172141255,46655
2020-02-28,84112,2872,36711,0.034144949591021496,44529
2020-02-29,86011,2941,39782,0.03419330085686714,43288
2020-03-01,88369,2996,42716,0.03390329187837364,42657
2020-03-02,90306,3085,45602,0.03416162824175581,41619
2020-03-03,92840,3160,48228,0.034037052994398964,41452
2020-03-04,95120,3254,51170,0.0342094196804037,40696
2020-03-05,97886,3348,53796,0.03420305253049466,40742
2020-03-06,101801,3460,55865,0.03398787831160794,42476
2020-03-07,105847,3558,58358,0.033614556860373936,43931
2020-03-08,109821,3802,60694,0.03461997250070569,45325
2020-03-09,113590,3988,62494,0.03510872435953869,47108
2020-03-10,118620,4262,64404,0.035929860057325916,49954
2020-03-11,125875,4615,67003,0.03666335650446872,54257
2020-03-12,128352,4720,68324,0.03677387185240588,55308
2020-03-13,145205,5404,70251,0.03721634929926655,69550
2020-03-14,156101,5819,72624,0.03727714748784441,77658
2020-03-15,167454,6440,76034,0.038458322882702116,84980
2020-03-16,181574,7126,78088,0.039245706984480155,96360
2020-03-17,197102,7905,80840,0.04010613793873223,108357
2020-03-18,214821,8733,83312,0.04065245017945173,122776
2020-03-19,242500,9867,84975,0.04068865979381443,147658
2020-03-20,272035,11299,87420,0.041535096586836254,173316
2020-03-21,304396,12973,91692,0.04261882547733873,199731
2020-03-22,336953,14651,97899,0.04348084154169869,224403
2020-03-23,378235,16505,98351,0.04363689240815895,263379
2020-03-24,418045,18625,108000,0.044552619933260776,291420
2020-03-25,467653,21181,113787,0.045292128993078204,332685
2020-03-26,529591,23970,122150,0.04526134318747864,383471
2020-03-27,593291,27198,130915,0.04584259663470371,435178
2020-03-28,660706,30652,139415,0.046392798006980415,490639
2020-03-29,720117,33925,149082,0.04711040011553678,537110
2020-03-30,782365,37582,164566,0.048036402446428456,580217
2020-03-31,857487,42107,178034,0.04910511762860545,637346
